url,title,author,num_ratings,num_reviews,avg_rating,num_pages,language,publish_date,genres,awards,characters,places,series,isbn,isbn13,rating_histogram,original_publish_year,asin,Fiction,Contemporary,Romance,Mystery,Audiobook,Thriller,Adult,Fantasy,Young Adult,Historical,Historical Fiction,Mystery Thriller,Contemporary Romance,Nonfiction,Adult Fiction,Suspense,Womens Fiction,Crime,Literary Fiction,Chick Lit,Science Fiction,Autobiography,Memoir,LGBT,Paranormal,Cultural,New Adult,War,Biography,Magic,publish_year,publish_month,publish_day,num_awards
https://www.goodreads.com/book/show/52257262-goldilocks,Goldilocks,Laura Lam,397,214,3.96,352.0,English,2020-04-30 00:00:00,"['Science Fiction', 'Adult', 'Fiction']",[],,,,1472267648.0,9781472267641.0,"{'5': 124, '4': 169, '3': 76, '2': 20, '1': 8}",,,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,2020.0,4.0,30.0,0
https://www.goodreads.com/book/show/49700394-everything-is-under-control,Everything Is Under Control: A Memoir with Recipes,Phyllis Grant,281,53,3.95,256.0,,2020-04-21 00:00:00,"['Food and Drink', 'Foodie', 'Biography Memoir', 'Culinary', 'Food', 'Memoir', 'Cookbooks', 'Biography', 'Autobiography', 'Nonfiction', 'Cooking']",[],,,,374150141.0,9780374150143.0,"{'5': 104, '4': 91, '3': 64, '2': 11, '1': 11}",,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,2020.0,4.0,21.0,0
https://www.goodreads.com/book/show/45422555-one-perfect-summer,One Perfect Summer,Brenda Novak,1121,371,4.28,464.0,,2020-04-07 00:00:00,"['Romance', 'Contemporary', 'Fiction', 'Chick Lit', 'Womens Fiction']",[],"['Reagan Sands', 'Lorelei Cipriano', 'Serenity Alston']","['Lake Tahoe, California']",,778309460.0,9780778309468.0,"{'5': 552, '4': 376, '3': 156, '2': 30, '1': 7}",,,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,2020.0,4.0,7.0,0
https://www.goodreads.com/book/show/42635091-seven-endless-forests,Seven Endless Forests,April Genevieve Tucholke,223,111,3.66,352.0,English,2020-04-28 00:00:00,"['Young Adult', 'Fantasy', 'Retellings', 'Adventure', 'High Fantasy', 'Historical', 'Fiction', 'Mythology', 'Arthurian', 'Young Adult Fantasy']",[],,,,374307091.0,9780374307097.0,"{'5': 50, '4': 77, '3': 70, '2': 23, '1': 3}",,,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2020.0,4.0,28.0,0
https://www.goodreads.com/book/show/52501458-hard-rain,Hard Rain,Irma Venter,1466,107,3.83,333.0,English,2020-04-16 00:00:00,"['Cultural', 'Mystery', 'Fiction', 'Africa', 'Thriller']",[],,,S-boek reeks #1,,,"{'5': 377, '4': 609, '3': 366, '2': 84, '1': 30}",2012.0,B07SWZZVCY,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2020.0,4.0,16.0,0
https://www.goodreads.com/book/show/49991875-playboy-princes,Playboy Princes,Jaymin Eve,2129,302,4.38,314.0,,2020-04-16 00:00:00,"['Reverse Harem', 'Young Adult', 'School', 'Dystopia', 'New Adult', 'Contemporary Romance', 'Science Fiction', 'Adult', 'College', 'Polyamorous', 'Romance', 'High School', 'Academic']",[],,,Royals of Arbon Academy #2,,,"{'5': 1297, '4': 496, '3': 215, '2': 88, '1': 33}",,B0834Y1RF7,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,2020.0,4.0,16.0,0
https://www.goodreads.com/book/show/50175172-kept-animals,Kept Animals,Kate Milliken,168,60,4.04,368.0,,2020-04-21 00:00:00,"['Young Adult', 'Coming Of Age', 'Gay', 'Queer', 'Contemporary', 'Historical', 'LGBT', 'Adult', 'Fiction', 'Literary Fiction', 'Animals', 'Historical Fiction', 'Horses', 'GLBT']",[],,,,1501188585.0,9781501188589.0,"{'5': 62, '4': 65, '3': 29, '2': 10, '1': 2}",,,True,True,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,2020.0,4.0,21.0,0
https://www.goodreads.com/book/show/51918673-tiny-imperfections,Tiny Imperfections,Alli Frank,137,51,3.76,336.0,English,2020-05-05 00:00:00,"['Contemporary', 'Womens Fiction', 'Fiction', 'Adult', 'Chick Lit', 'Romance']",[],,,,593085027.0,9780593085028.0,"{'5': 24, '4': 63, '3': 43, '2': 7, '1': 0}",,,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,2020.0,5.0,5.0,0
https://www.goodreads.com/book/show/40277424-the-summer-set,The Summer Set,Aimee Agresti,60,41,3.8,384.0,,2020-05-12 00:00:00,"['Womens Fiction', 'Chick Lit', 'Fiction']",[],,,,1525823582.0,9781525823589.0,"{'5': 13, '4': 28, '3': 13, '2': 6, '1': 0}",,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,2020.0,5.0,12.0,0
https://www.goodreads.com/book/show/53122391-a-children-s-bible,A Children's Bible,Lydia Millet,300,77,3.98,224.0,English,2020-05-12 00:00:00,"['Literary Fiction', 'Contemporary', 'Fiction']",[],,,,1324005033.0,9781324005032.0,"{'5': 107, '4': 98, '3': 79, '2': 13, '1': 3}",,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2020.0,5.0,12.0,0
https://www.goodreads.com/book/show/40651649-the-rural-diaries,"The Rural Diaries: What Moving to Mischief Farm Taught Me About What Really Matters in Life, Love, and Making Dandelion Wine",Hilarie Burton,1156,243,4.59,272.0,,2020-05-05 00:00:00,"['Autobiography', 'Memoir', 'Nonfiction']",[],,,,62862723.0,9780062862723.0,"{'5': 791, '4': 281, '3': 67, '2': 7, '1': 10}",,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,2020.0,5.0,5.0,0
https://www.goodreads.com/book/show/52739801-date-me-bryson-keller,"Date Me, Bryson Keller",Kevin van Whye,575,281,4.14,336.0,English,2020-05-19 00:00:00,"['Young Adult', 'Gay', 'Queer', 'Contemporary', 'LGBT', 'Fiction', 'M M Romance', 'Young Adult Romance', 'Romance', 'GLBT', 'Young Adult Contemporary']",[],,,,593126041.0,9780593126042.0,"{'5': 257, '4': 193, '3': 88, '2': 21, '1': 16}",,,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2020.0,5.0,19.0,0
https://www.goodreads.com/book/show/52271365-someone-like-you,Someone Like You,Karen Kingsbury,527,104,4.5,304.0,English,2020-05-05 00:00:00,"['Romance', 'Christian Fiction', 'Fiction']",[],,,The Baxters #30,1982104317.0,9781982104313.0,"{'5': 351, '4': 115, '3': 39, '2': 15, '1': 7}",,,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2020.0,5.0,5.0,0
https://www.goodreads.com/book/show/51970914-stories-we-never-told,Stories We Never Told,Sonja Yoerg,3491,312,3.73,332.0,English,2020-05-01 00:00:00,"['Mystery', 'Thriller', 'Suspense', 'Fiction']",[],,,,1542019729.0,9781542019729.0,"{'5': 824, '4': 1295, '3': 1062, '2': 234, '1': 76}",,,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2020.0,5.0,1.0,0
https://www.goodreads.com/book/show/50542146-self-made,Self Made: Inspired by the Life of Madam C.J. Walker,A'Lelia Perry Bundles,2270,58,3.3,416.0,English,2020-05-05 00:00:00,"['History', 'Biography', 'Business', 'Autobiography', 'Nonfiction']",['Hurston/Wright Legacy Award Nominee for Nonfiction (2002)'],['Madam C.J. Walker'],,,,,"{'5': 582, '4': 548, '3': 443, '2': 373, '1': 324}",2001.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,2020.0,5.0,5.0,1
https://www.goodreads.com/book/show/48675574-black-knight,Black Knight,Rina Kent,1160,371,4.43,326.0,English,2020-05-21 00:00:00,"['Romance', 'Young Adult', 'High School', 'New Adult']",[],,,Royal Elite #4,,,"{'5': 714, '4': 286, '3': 120, '2': 25, '1': 15}",,B083ZQMZHK,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2020.0,5.0,21.0,0
https://www.goodreads.com/book/show/52454063-tornado-brain,Tornado Brain,Cat Patrick,104,34,4.37,304.0,English,2020-05-05 00:00:00,"['Realistic Fiction', 'Mental Health', 'Health', 'Middle Grade', 'Fiction', 'Childrens']",[],,"['Long Beach, Washington', 'Washington (state)']",,1984815318.0,9781984815316.0,"{'5': 54, '4': 36, '3': 12, '2': 2, '1': 0}",,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2020.0,5.0,5.0,0
https://www.goodreads.com/book/show/51934297-a-ceiling-made-of-eggshells,A Ceiling Made of Eggshells,Gail Carson Levine,41,16,3.93,400.0,,2020-05-12 00:00:00,"['Jewish', 'Middle Grade', 'Literature', 'Historical', 'Historical Fiction', 'Childrens']",[],,,,62878190.0,9780062878199.0,"{'5': 15, '4': 11, '3': 13, '2': 1, '1': 1}",,,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2020.0,5.0,12.0,0
https://www.goodreads.com/book/show/45894170-the-beauty-of-your-face,The Beauty of Your Face,Sahar Mustafah,202,64,4.1,312.0,English,2020-04-07 00:00:00,"['Adult Fiction', 'Literary Fiction', 'Adult', 'Fiction']",[],,,,1324003383.0,9781324003380.0,"{'5': 72, '4': 83, '3': 44, '2': 2, '1': 1}",,,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2020.0,4.0,7.0,0
https://www.goodreads.com/book/show/48739558-the-book-of-longings,The Book of Longings,Sue Monk Kidd,5396,1040,4.34,432.0,,2020-04-21 00:00:00,"['Cultural', 'Novels', 'Israel', 'Historical', 'Fiction', 'Adult', 'Adult Fiction', 'Literary Fiction', 'Audiobook', 'Historical Fiction', 'Religion']",[],,,,,,"{'5': 2835, '4': 1805, '3': 568, '2': 123, '1': 65}",,B07YRTC6WV,True,False,False,False,True,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,2020.0,4.0,21.0,0
https://www.goodreads.com/book/show/48510619-the-book-of-koli,The Book of Koli,M.R. Carey,687,287,4.06,416.0,English,2020-04-14 00:00:00,"['Science Fiction', 'Fantasy', 'Dystopia', 'Fiction']",[],,,Rampart Trilogy #1,,,"{'5': 233, '4': 304, '3': 117, '2': 24, '1': 9}",,B07W54MPDZ,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,2020.0,4.0,14.0,0
https://www.goodreads.com/book/show/50887097-why-fish-don-t-exist,"Why Fish Don't Exist: A Story of Loss, Love, and the Hidden Order of Life",Lulu Miller,520,119,4.43,240.0,,2020-04-14 00:00:00,"['Nature', 'Biography Memoir', 'History', 'Biography', 'Memoir', 'Audiobook', 'Animals', 'Environment', 'Philosophy', 'Autobiography', 'Nonfiction', 'Science']",[],,,,1501160273.0,9781501160271.0,"{'5': 297, '4': 169, '3': 40, '2': 11, '1': 3}",,,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,2020.0,4.0,14.0,0
